timestamp,worker,id_pregunta,id_interaction,transcripcion
1729765754,1,1,0,soy el trabajador 1 
1729765761,1,2,0,sí
1729765769,1,207,0,estoy haciendo uno happy y esto y arreglando una las cositas de la diferencia
1729765791,2,1,0,soy el trabajador número 2 
1729765797,2,2,0,sí
1729765803,2,211,0,pues me veo una serie o se va a dar un paseo
1729765864,3,1,0,estoy el trabajador número 3 
1729765870,3,2,0,sí
1729765883,3,210,0,es muchas veces me voy a dar una vuelta o me veo serie de su quedó con mi pareja para hacer algún plan
1729765916,4,1,0,soy el trabajador número 4 
1729765922,4,2,0,sí
1729765933,4,204,0,pues lo que usted en la contigo
1729766026,6,1,0,soy el trabajador 7 
1729766037,6,3,0,soy el trabajador 6 
1729766046,6,2,0,sí
1729766052,6,204,0,tú
1729766112,5,1,0,soy el trabajador 5 
1729766119,5,2,0,sí
1729766127,5,205,0,pues no tengo ninguna fábrica yo estoy en casa así que no
